"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"04/01/2018","AQS","060550004","3","8.7","ug/m3 LC","36","Napa Valley College","1","100.0000","88101","PM2.5 - Local Conditions","34900","Napa, CA","06","California","055","Napa","38.2788490009178","-122.275024"
"04/02/2018","AQS","060550004","3","7.1","ug/m3 LC","30","Napa Valley College","1","100.0000","88101","PM2.5 - Local Conditions","34900","Napa, CA","06","California","055","Napa","38.2788490009178","-122.275024"
"04/03/2018","AQS","060550004","3","10.1","ug/m3 LC","42","Napa Valley College","1","100.0000","88101","PM2.5 - Local Conditions","34900","Napa, CA","06","California","055","Napa","38.2788490009178","-122.275024"
"04/04/2018","AQS","060550004","3","7.6","ug/m3 LC","32","Napa Valley College","1","100.0000","88101","PM2.5 - Local Conditions","34900","Napa, CA","06","California","055","Napa","38.2788490009178","-122.275024"
"04/05/2018","AQS","060550004","3","6.2","ug/m3 LC","26","Napa Valley College","1","100.0000","88101","PM2.5 - Local Conditions","34900","Napa, CA","06","California","055","Napa","38.2788490009178","-122.275024"
"04/06/2018","AQS","060550004","3","3.5","ug/m3 LC","15","Napa Valley College","1","100.0000","88101","PM2.5 - Local Conditions","34900","Napa, CA","06","California","055","Napa","38.2788490009178","-122.275024"
"04/07/2018","AQS","060550004","3","8","ug/m3 LC","33","Napa Valley College","1","100.0000","88101","PM2.5 - Local Conditions","34900","Napa, CA","06","California","055","Napa","38.2788490009178","-122.275024"
"04/08/2018","AQS","060550004","3","6.3","ug/m3 LC","26","Napa Valley College","1","100.0000","88101","PM2.5 - Local Conditions","34900","Napa, CA","06","California","055","Napa","38.2788490009178","-122.275024"
"04/09/2018","AQS","060550004","3","8","ug/m3 LC","33","Napa Valley College","1","100.0000","88101","PM2.5 - Local Conditions","34900","Napa, CA","06","California","055","Napa","38.2788490009178","-122.275024"
"04/10/2018","AQS","060550004","3","5.9","ug/m3 LC","25","Napa Valley College","1","100.0000","88101","PM2.5 - Local Conditions","34900","Napa, CA","06","California","055","Napa","38.2788490009178","-122.275024"
"04/11/2018","AQS","060550004","3","4.9","ug/m3 LC","20","Napa Valley College","1","100.0000","88101","PM2.5 - Local Conditions","34900","Napa, CA","06","California","055","Napa","38.2788490009178","-122.275024"
"04/12/2018","AQS","060550004","3","4.7","ug/m3 LC","20","Napa Valley College","1","100.0000","88101","PM2.5 - Local Conditions","34900","Napa, CA","06","California","055","Napa","38.2788490009178","-122.275024"
"04/13/2018","AQS","060550004","3","5.9","ug/m3 LC","25","Napa Valley College","1","100.0000","88101","PM2.5 - Local Conditions","34900","Napa, CA","06","California","055","Napa","38.2788490009178","-122.275024"
"04/14/2018","AQS","060550004","3","8.1","ug/m3 LC","34","Napa Valley College","1","100.0000","88101","PM2.5 - Local Conditions","34900","Napa, CA","06","California","055","Napa","38.2788490009178","-122.275024"
"04/15/2018","AQS","060550004","3","6.9","ug/m3 LC","29","Napa Valley College","1","100.0000","88101","PM2.5 - Local Conditions","34900","Napa, CA","06","California","055","Napa","38.2788490009178","-122.275024"
"04/16/2018","AQS","060550004","3","3.6","ug/m3 LC","15","Napa Valley College","1","100.0000","88101","PM2.5 - Local Conditions","34900","Napa, CA","06","California","055","Napa","38.2788490009178","-122.275024"
"04/17/2018","AQS","060550004","3","3.9","ug/m3 LC","16","Napa Valley College","1","100.0000","88101","PM2.5 - Local Conditions","34900","Napa, CA","06","California","055","Napa","38.2788490009178","-122.275024"
"04/18/2018","AQS","060550004","3","3.6","ug/m3 LC","15","Napa Valley College","1","100.0000","88101","PM2.5 - Local Conditions","34900","Napa, CA","06","California","055","Napa","38.2788490009178","-122.275024"
"04/19/2018","AQS","060550004","3","6","ug/m3 LC","25","Napa Valley College","1","100.0000","88101","PM2.5 - Local Conditions","34900","Napa, CA","06","California","055","Napa","38.2788490009178","-122.275024"
"04/20/2018","AQS","060550004","3","8.8","ug/m3 LC","37","Napa Valley College","1","100.0000","88101","PM2.5 - Local Conditions","34900","Napa, CA","06","California","055","Napa","38.2788490009178","-122.275024"
"04/21/2018","AQS","060550004","3","9.6","ug/m3 LC","40","Napa Valley College","1","100.0000","88101","PM2.5 - Local Conditions","34900","Napa, CA","06","California","055","Napa","38.2788490009178","-122.275024"
"04/22/2018","AQS","060550004","3","9.6","ug/m3 LC","40","Napa Valley College","1","100.0000","88101","PM2.5 - Local Conditions","34900","Napa, CA","06","California","055","Napa","38.2788490009178","-122.275024"
"04/23/2018","AQS","060550004","3","15","ug/m3 LC","57","Napa Valley College","1","100.0000","88101","PM2.5 - Local Conditions","34900","Napa, CA","06","California","055","Napa","38.2788490009178","-122.275024"
"04/24/2018","AQS","060550004","3","11.9","ug/m3 LC","50","Napa Valley College","1","100.0000","88101","PM2.5 - Local Conditions","34900","Napa, CA","06","California","055","Napa","38.2788490009178","-122.275024"
"04/25/2018","AQS","060550004","3","10.3","ug/m3 LC","43","Napa Valley College","1","100.0000","88101","PM2.5 - Local Conditions","34900","Napa, CA","06","California","055","Napa","38.2788490009178","-122.275024"
"04/26/2018","AQS","060550004","3","9.7","ug/m3 LC","40","Napa Valley College","1","100.0000","88101","PM2.5 - Local Conditions","34900","Napa, CA","06","California","055","Napa","38.2788490009178","-122.275024"
"04/27/2018","AQS","060550004","3","7.4","ug/m3 LC","31","Napa Valley College","1","100.0000","88101","PM2.5 - Local Conditions","34900","Napa, CA","06","California","055","Napa","38.2788490009178","-122.275024"
"04/28/2018","AQS","060550004","3","5.2","ug/m3 LC","22","Napa Valley College","1","100.0000","88101","PM2.5 - Local Conditions","34900","Napa, CA","06","California","055","Napa","38.2788490009178","-122.275024"
"04/29/2018","AQS","060550004","3","3.7","ug/m3 LC","15","Napa Valley College","1","100.0000","88101","PM2.5 - Local Conditions","34900","Napa, CA","06","California","055","Napa","38.2788490009178","-122.275024"
"04/30/2018","AQS","060550004","3","6.4","ug/m3 LC","27","Napa Valley College","1","100.0000","88101","PM2.5 - Local Conditions","34900","Napa, CA","06","California","055","Napa","38.2788490009178","-122.275024"
"05/01/2018","AQS","060550004","3","7.8","ug/m3 LC","33","Napa Valley College","1","100.0000","88101","PM2.5 - Local Conditions","34900","Napa, CA","06","California","055","Napa","38.2788490009178","-122.275024"
"05/02/2018","AQS","060550004","3","11.2","ug/m3 LC","47","Napa Valley College","1","100.0000","88101","PM2.5 - Local Conditions","34900","Napa, CA","06","California","055","Napa","38.2788490009178","-122.275024"
"05/03/2018","AQS","060550004","3","7","ug/m3 LC","29","Napa Valley College","1","100.0000","88101","PM2.5 - Local Conditions","34900","Napa, CA","06","California","055","Napa","38.2788490009178","-122.275024"
"05/04/2018","AQS","060550004","3","8","ug/m3 LC","33","Napa Valley College","1","100.0000","88101","PM2.5 - Local Conditions","34900","Napa, CA","06","California","055","Napa","38.2788490009178","-122.275024"
"05/05/2018","AQS","060550004","3","6.4","ug/m3 LC","27","Napa Valley College","1","100.0000","88101","PM2.5 - Local Conditions","34900","Napa, CA","06","California","055","Napa","38.2788490009178","-122.275024"
"05/06/2018","AQS","060550004","3","4.8","ug/m3 LC","20","Napa Valley College","1","100.0000","88101","PM2.5 - Local Conditions","34900","Napa, CA","06","California","055","Napa","38.2788490009178","-122.275024"
"05/07/2018","AQS","060550004","3","5.5","ug/m3 LC","23","Napa Valley College","1","100.0000","88101","PM2.5 - Local Conditions","34900","Napa, CA","06","California","055","Napa","38.2788490009178","-122.275024"
"05/08/2018","AQS","060550004","3","5.7","ug/m3 LC","24","Napa Valley College","1","100.0000","88101","PM2.5 - Local Conditions","34900","Napa, CA","06","California","055","Napa","38.2788490009178","-122.275024"
"05/09/2018","AQS","060550004","3","4.4","ug/m3 LC","18","Napa Valley College","1","100.0000","88101","PM2.5 - Local Conditions","34900","Napa, CA","06","California","055","Napa","38.2788490009178","-122.275024"
"05/10/2018","AQS","060550004","3","7","ug/m3 LC","29","Napa Valley College","1","100.0000","88101","PM2.5 - Local Conditions","34900","Napa, CA","06","California","055","Napa","38.2788490009178","-122.275024"
"05/11/2018","AQS","060550004","3","5.2","ug/m3 LC","22","Napa Valley College","1","100.0000","88101","PM2.5 - Local Conditions","34900","Napa, CA","06","California","055","Napa","38.2788490009178","-122.275024"
"05/12/2018","AQS","060550004","3","7.1","ug/m3 LC","30","Napa Valley College","1","100.0000","88101","PM2.5 - Local Conditions","34900","Napa, CA","06","California","055","Napa","38.2788490009178","-122.275024"
"05/13/2018","AQS","060550004","3","5.8","ug/m3 LC","24","Napa Valley College","1","100.0000","88101","PM2.5 - Local Conditions","34900","Napa, CA","06","California","055","Napa","38.2788490009178","-122.275024"
"05/14/2018","AQS","060550004","3","3.6","ug/m3 LC","15","Napa Valley College","1","100.0000","88101","PM2.5 - Local Conditions","34900","Napa, CA","06","California","055","Napa","38.2788490009178","-122.275024"
"05/15/2018","AQS","060550004","3","2.7","ug/m3 LC","11","Napa Valley College","1","100.0000","88101","PM2.5 - Local Conditions","34900","Napa, CA","06","California","055","Napa","38.2788490009178","-122.275024"
"05/16/2018","AQS","060550004","3","4.2","ug/m3 LC","18","Napa Valley College","1","100.0000","88101","PM2.5 - Local Conditions","34900","Napa, CA","06","California","055","Napa","38.2788490009178","-122.275024"
"05/17/2018","AQS","060550004","3","4","ug/m3 LC","17","Napa Valley College","1","100.0000","88101","PM2.5 - Local Conditions","34900","Napa, CA","06","California","055","Napa","38.2788490009178","-122.275024"
