Daily Mean PM2.5 Concentration,DAILY_AQI_VALUE
6.5,27
17.7,63
23.7,75
32.6,94
43.1,120
27.7,84
27.9,84
9.2,38
21.6,71
31.3,91
40.5,113
26.2,81
25.4,79
36.8,104
34.3,98
29.6,88
5.8,24
16.5,60
32.7,94
32.7,94
40.0,112
38.6,109
31.8,92
27.9,84
23.4,75
21.5,71
23.1,74
20.3,68
28.8,86
40.7,114
31.1,91
24.3,77
26.0,80
12.3,51
10.8,45
11.0,46
9.1,38
10.1,42
13.4,54
14.2,55
14.5,56
12.0,50
9.5,40
5.0,21
7.2,30
5.7,24
7.1,30
5.3,22
4.2,18
11.7,49
13.3,54
6.7,28
4.5,19
9.6,40
9.1,38
17.3,62
14.0,55
11.9,50
13.2,53
13.2,53
10.9,45
8.9,37
6.5,27
10.8,45
12.2,51
12.2,51
12.1,51
10.2,43
10.0,42
9.4,39
12.0,50
11.5,48
7.2,30
5.8,24
6.3,26
6.2,26
7.4,31
11.4,48
8.8,37
5.0,21
6.2,26
5.7,24
6.7,28
8.8,37
7.3,30
9.0,38
6.0,25
4.1,17
5.8,24
5.9,25
6.9,29
6.1,25
4.7,20
7.1,30
6.0,25
5.1,21
6.8,28
5.2,22
5.3,22
8.9,37
5.6,23
4.7,20
5.2,22
4.8,20
7.2,30
9.8,41
11.4,48
11.0,46
12.4,52
11.5,48
9.1,38
5.2,22
5.3,22
6.1,25
5.2,22
5.5,23
6.5,27
7.3,30
7.2,30
7.8,33
10.1,42
11.5,48
11.5,48
12.7,52
16.1,59
13.6,54
12.1,51
9.5,40
8.1,34
7.8,33
8.1,34
6.9,29
9.2,38
7.8,33
16.6,60
12.8,52
10.7,45
11.2,47
16.7,61
11.9,50
9.1,38
10.0,42
8.5,35
7.8,33
7.6,32
5.3,22
6.5,27
6.3,26
8.5,35
14.1,55
12.7,52
8.6,36
12.8,52
16.7,61
15.1,57
17.4,62
18.1,64
13.3,54
17.5,62
18.0,63
15.9,59
11.1,46
7.6,32
7.9,33
6.9,29
10.4,43
15.8,59
11.0,46
6.5,27
7.3,30
7.3,30
7.7,32
8.5,35
9.9,41
17.5,62
21.7,71
13.8,55
14.7,56
17.0,61
12.4,52
10.5,44
6.5,27
6.8,28
7.3,30
6.7,28
6.8,28
7.2,30
6.9,29
6.7,28
8.7,36
7.6,32
7.9,33
7.3,30
8.7,36
11.5,48
14.1,55
13.5,54
13.3,54
14.9,57
11.7,49
16.0,59
18.3,64
15.6,58
11.2,47
10.5,44
11.5,48
9.5,40
9.5,40
10.4,43
8.3,35
8.2,34
13.9,55
11.3,47
10.2,43
7.5,31
9.1,38
7.4,31
6.6,28
8.0,33
7.9,33
6.0,25
6.2,26
10.4,43
17.5,62
14.5,56
10.2,43
10.0,42
9.7,40
10.2,43
10.7,45
9.8,41
10.6,44
11.1,46
9.6,40
10.4,43
8.5,35
6.6,28
13.3,54
12.0,50
12.0,50
12.7,52
11.4,48
13.7,54
13.2,53
10.9,45
11.2,47
8.5,35
8.5,35
11.5,48
12.0,50
14.8,57
8.0,33
8.7,36
9.5,40
11.9,50
11.0,46
8.7,36
8.2,34
8.9,37
10.9,45
9.7,40
7.5,31
7.0,29
9.3,39
6.3,26
7.3,30
9.8,41
10.5,44
9.6,40
8.3,35
9.6,40
10.0,42
8.6,36
9.5,40
13.6,54
11.2,47
8.7,36
12.0,50
14.0,55
10.3,43
8.8,37
6.1,25
11.1,46
12.3,51
13.0,53
14.1,55
21.4,71
18.8,65
23.4,75
19.4,66
12.3,51
17.0,61
16.0,59
15.8,59
17.6,63
17.5,62
19.3,66
24.5,77
20.2,68
18.8,65
15.7,59
20.2,68
9.5,40
17.3,62
15.2,58
14.1,55
10.5,44
9.7,40
14.3,56
14.0,55
13.2,53
20.8,69
27.0,82
26.9,82
18.8,65
29.6,88
29.2,87
29.7,88
17.5,62
16.0,59
24.4,77
29.2,87
28.0,84
12.0,50
9.5,40
18.0,63
12.5,52
16.9,61
10.7,45
15.5,58
16.5,60
17.4,62
13.6,54
21.5,71
28.6,86
32.1,93
29.8,88
16.3,60
23.3,75
14.0,55
12.9,53
12.9,53
19.4,66
28.3,85
30.9,91
21.3,70
12.4,52
15.6,58
9.0,38
19.4,66
23.4,75
16.0,59
22.2,72
30.6,90
36.4,103
17.9,63
8.6,36
10.2,43
13.4,54
15.3,58
16.9,61
14.5,56
17.0,61
10.7,45
16.4,60
17.8,63
21.6,71
24.3,77
6.2,26
12.5,52
31.2,91
41.6,116
27.5,83
22.7,73
9.0,38
7.8,33
9.2,38
5.7,24
6.8,28
6.5,27
11.5,48
15.8,59
18.5,64
17.6,63
18.2,64
17.7,63
6.9,29
7.9,33
9.7,40
13.7,54
15.3,58
16.5,60
19.5,67
19.3,66
17.4,62
17.2,62
10.5,44
5.5,23
10.4,43
20.1,68
23.7,75
20.0,68
9.9,41
9.8,41
10.5,44
9.9,41
10.0,42
9.8,41
11.2,47
10.9,45
10.3,43
10.7,45
9.7,40
6.2,26
5.5,23
10.5,44
12.5,52
6.4,27
11.8,49
12.4,52
12.5,52
10.2,43
9.4,39
11.3,47
13.5,54
6.9,29
8.1,34
8.5,35
6.9,29
12.4,52
10.6,44
9.4,39
10.5,44
9.9,41
11.4,48
10.4,43
8.4,35
7.0,29
8.2,34
9.0,38
9.2,38
7.4,31
7.3,30
12.8,52
10.4,43
11.0,46
12.0,50
12.0,50
10.5,44
9.0,38
8.3,35
9.1,38
8.9,37
9.6,40
11.5,48
13.2,53
12.9,53
8.7,36
8.3,35
10.2,43
11.9,50
17.2,62
10.6,44
8.1,34
11.0,46
12.0,50
8.5,35
9.0,38
11.3,47
12.3,51
11.2,47
7.3,30
7.8,33
7.0,29
8.9,37
15.0,57
14.9,57
18.7,65
14.3,56
14.5,56
13.8,55
18.6,65
15.0,57
12.8,52
9.7,40
12.0,50
11.9,50
11.4,48
6.6,28
8.2,34
11.6,48
8.7,36
10.9,45
10.7,45
6.1,25
5.7,24
11.4,48
9.4,39
9.7,40
8.9,37
9.3,39
6.4,27
8.3,35
10.9,45
11.7,49
10.8,45
11.8,49
9.1,38
6.2,26
7.8,33
8.3,35
9.2,38
14.1,55
11.4,48
7.1,30
7.2,30
11.1,46
14.9,57
12.2,51
13.4,54
15.2,58
16.6,60
10.5,44
8.6,36
8.7,36
7.9,33
32.4,94
40.4,113
37.4,106
43.8,121
38.8,109
37.7,106
19.0,66
15.5,58
9.0,38
15.3,58
9.7,40
7.8,33
7.8,33
14.0,55
16.3,60
31.5,92
38.0,107
32.3,93
31.4,92
18.9,65
14.0,55
14.8,57
